danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,Hot
0.8290000000000001,0.609,10,-10.008,1,0.059,0.0108,0.261,0.11,0.696,143.97,audio_features,7CwPDvjGUUyPSJK8HudIlO,spotify:track:7CwPDvjGUUyPSJK8HudIlO,https://api.spotify.com/v1/tracks/7CwPDvjGUUyPSJK8HudIlO,https://api.spotify.com/v1/audio-analysis/7CwPDvjGUUyPSJK8HudIlO,130000,4,Trap Metal,Alone,,,N
0.715,0.574,7,-6.236000000000001,1,0.0817,0.373,0.0,0.174,0.337,157.0,audio_features,1wa6QQsdSE3X2GbRljGpFk,spotify:track:1wa6QQsdSE3X2GbRljGpFk,https://api.spotify.com/v1/tracks/1wa6QQsdSE3X2GbRljGpFk,https://api.spotify.com/v1/audio-analysis/1wa6QQsdSE3X2GbRljGpFk,183703,4,Underground Rap,Candles,,,N
0.665,0.986,7,-6.541,1,0.0845,0.00111,0.765,0.309,0.0709,134.006,audio_features,4YlbI52eByNxPhEKyK9u8l,spotify:track:4YlbI52eByNxPhEKyK9u8l,https://api.spotify.com/v1/tracks/4YlbI52eByNxPhEKyK9u8l,https://api.spotify.com/v1/audio-analysis/4YlbI52eByNxPhEKyK9u8l,368955,4,techno,,3075.0,techno. only. (08/02),N
0.86,0.8240000000000001,8,-7.207000000000002,1,0.0518,0.024,0.657,0.205,0.87,124.016,audio_features,4qetR2UUyBeUrJ9DbYrpVQ,spotify:track:4qetR2UUyBeUrJ9DbYrpVQ,https://api.spotify.com/v1/tracks/4qetR2UUyBeUrJ9DbYrpVQ,https://api.spotify.com/v1/audio-analysis/4qetR2UUyBeUrJ9DbYrpVQ,163790,4,techhouse,,962.0,Tech House by DOT Dance,N
0.633,0.795,8,-3.614,1,0.0489,0.00493,0.6609999999999999,0.189,0.0911,173.93900000000005,audio_features,6JXwoZPnhqbqpnh1BMUkSe,spotify:track:6JXwoZPnhqbqpnh1BMUkSe,https://api.spotify.com/v1/tracks/6JXwoZPnhqbqpnh1BMUkSe,https://api.spotify.com/v1/audio-analysis/6JXwoZPnhqbqpnh1BMUkSe,157241,4,dnb,,16208.0,UKF Drum & Bass - All Uploads,N
0.496,0.754,4,-5.48,0,0.32,0.00321,0.0,0.259,0.7490000000000001,153.118,audio_features,3AnoLaO8vB0xWkh7PD5bKG,spotify:track:3AnoLaO8vB0xWkh7PD5bKG,https://api.spotify.com/v1/tracks/3AnoLaO8vB0xWkh7PD5bKG,https://api.spotify.com/v1/audio-analysis/3AnoLaO8vB0xWkh7PD5bKG,313680,4,RnB,EveryGirl In The World - Album Version (Edited),,,N
0.6729999999999999,0.4029999999999999,8,-9.809,0,0.0273,0.8290000000000001,0.8290000000000001,0.272,0.54,140.986,audio_features,2GtaNlidzvK3hY78kCdsHa,spotify:track:2GtaNlidzvK3hY78kCdsHa,https://api.spotify.com/v1/tracks/2GtaNlidzvK3hY78kCdsHa,https://api.spotify.com/v1/audio-analysis/2GtaNlidzvK3hY78kCdsHa,260200,4,Hiphop,Marijuana,,,N
0.398,0.915,11,-3.418,0,0.0511,0.0103,3.82e-06,0.275,0.31,173.813,audio_features,38HD7KIRY9JOuU9AygkRep,spotify:track:38HD7KIRY9JOuU9AygkRep,https://api.spotify.com/v1/tracks/38HD7KIRY9JOuU9AygkRep,https://api.spotify.com/v1/audio-analysis/38HD7KIRY9JOuU9AygkRep,274102,4,dnb,,17027.0,UKF Drum & Bass - All Uploads,N
0.894,0.4579999999999999,6,-10.707,1,0.0393,0.0394,1.11e-06,0.0989,0.5870000000000001,116.998,audio_features,2nIKaSGeNybfwqFY3c6zH2,spotify:track:2nIKaSGeNybfwqFY3c6zH2,https://api.spotify.com/v1/tracks/2nIKaSGeNybfwqFY3c6zH2,https://api.spotify.com/v1/audio-analysis/2nIKaSGeNybfwqFY3c6zH2,188813,4,Underground Rap,Fear the Beast,,,N
0.532,0.977,5,-2.532,0,0.0592,0.0476,0.0365,0.659,0.256,150.03,audio_features,0N9J6GbxYtznep7Hm23K0o,spotify:track:0N9J6GbxYtznep7Hm23K0o,https://api.spotify.com/v1/tracks/0N9J6GbxYtznep7Hm23K0o,https://api.spotify.com/v1/audio-analysis/0N9J6GbxYtznep7Hm23K0o,206400,4,hardstyle,,19605.0,Euphoric Hardstyle,N
0.805,0.752,7,-9.968,1,0.0676,0.00235,0.6409999999999999,0.0598,0.379,128.007,audio_features,3pufyvobMhJkByhB8xClzp,spotify:track:3pufyvobMhJkByhB8xClzp,https://api.spotify.com/v1/tracks/3pufyvobMhJkByhB8xClzp,https://api.spotify.com/v1/audio-analysis/3pufyvobMhJkByhB8xClzp,347213,4,techhouse,,570.0,Dirtybird Players,N
0.691,0.747,1,-5.92,1,0.354,0.4039999999999999,0.0,0.1639999999999999,0.6629999999999999,159.99,audio_features,2Bf8lKUdOJWg7VVAE0QDCV,spotify:track:2Bf8lKUdOJWg7VVAE0QDCV,https://api.spotify.com/v1/tracks/2Bf8lKUdOJWg7VVAE0QDCV,https://api.spotify.com/v1/audio-analysis/2Bf8lKUdOJWg7VVAE0QDCV,212000,4,Underground Rap,Butter,,,N
0.684,0.74,6,-7.5539999999999985,0,0.0437,0.00415,0.91,0.139,0.0371,128.0,audio_features,6tN5uFGCDbVPVabdaAfrW3,spotify:track:6tN5uFGCDbVPVabdaAfrW3,https://api.spotify.com/v1/tracks/6tN5uFGCDbVPVabdaAfrW3,https://api.spotify.com/v1/audio-analysis/6tN5uFGCDbVPVabdaAfrW3,485933,4,techno,,3473.0,Dark Techno,N
0.861,0.621,1,-7.106,1,0.362,0.121,0.0,0.0689,0.254,83.976,audio_features,5AjINjwKyRvQJhSe2zpPHi,spotify:track:5AjINjwKyRvQJhSe2zpPHi,https://api.spotify.com/v1/tracks/5AjINjwKyRvQJhSe2zpPHi,https://api.spotify.com/v1/audio-analysis/5AjINjwKyRvQJhSe2zpPHi,166640,4,Rap,Pop Out (feat. Lil Tjay),,,N
0.487,0.92,1,-4.743,1,0.0531,0.0008609999999999,0.0,0.203,0.231,175.074,audio_features,5URn87ZSkjCq9LIXcUHjsU,spotify:track:5URn87ZSkjCq9LIXcUHjsU,https://api.spotify.com/v1/tracks/5URn87ZSkjCq9LIXcUHjsU,https://api.spotify.com/v1/audio-analysis/5URn87ZSkjCq9LIXcUHjsU,240960,4,Emo,Heartless (Kanye West cover),,,N
0.795,0.588,10,-7.715,0,0.0624,0.455,0.92,0.16,0.136,123.012,audio_features,5yqTOAN31djGrc68LPJgka,spotify:track:5yqTOAN31djGrc68LPJgka,https://api.spotify.com/v1/tracks/5yqTOAN31djGrc68LPJgka,https://api.spotify.com/v1/audio-analysis/5yqTOAN31djGrc68LPJgka,471218,4,techno,,5606.0,Techno,N
0.374,0.979,0,-3.64,1,0.0379,0.0208,0.00106,0.289,0.272,174.02200000000005,audio_features,4E9HmV2dtUL1MJxR74yWLa,spotify:track:4E9HmV2dtUL1MJxR74yWLa,https://api.spotify.com/v1/tracks/4E9HmV2dtUL1MJxR74yWLa,https://api.spotify.com/v1/audio-analysis/4E9HmV2dtUL1MJxR74yWLa,193147,4,dnb,,16600.0,Liqduicity Drum & Bass,N
0.851,0.89,11,-6.176,1,0.0614,0.00302,0.212,0.298,0.861,127.022,audio_features,59eWetJb3ZJH3WOluBEtxv,spotify:track:59eWetJb3ZJH3WOluBEtxv,https://api.spotify.com/v1/tracks/59eWetJb3ZJH3WOluBEtxv,https://api.spotify.com/v1/audio-analysis/59eWetJb3ZJH3WOluBEtxv,160630,4,techhouse,,2130.0,Tech House 2020 - Best of Techno,N
0.738,0.72,1,-11.078,0,0.0707,0.259,0.918,0.104,0.0344,130.018,audio_features,4HPjjyDxAoUoc5ABBhSBi2,spotify:track:4HPjjyDxAoUoc5ABBhSBi2,https://api.spotify.com/v1/tracks/4HPjjyDxAoUoc5ABBhSBi2,https://api.spotify.com/v1/audio-analysis/4HPjjyDxAoUoc5ABBhSBi2,320417,4,techno,,3027.0,Dark Techno Rave,N
0.831,0.636,9,-8.847999999999999,1,0.23,0.000916,8.5e-06,0.281,0.353,186.054,audio_features,3VWcCQGmYVUGfS5vCz8HqX,spotify:track:3VWcCQGmYVUGfS5vCz8HqX,https://api.spotify.com/v1/tracks/3VWcCQGmYVUGfS5vCz8HqX,https://api.spotify.com/v1/audio-analysis/3VWcCQGmYVUGfS5vCz8HqX,175484,4,Dark Trap,GIDDY UP!,,,N
0.58,0.968,1,-9.061,1,0.0549,0.115,0.825,0.149,0.393,139.006,audio_features,1ODxfBiqjEmBaiQ0xy9RaO,spotify:track:1ODxfBiqjEmBaiQ0xy9RaO,https://api.spotify.com/v1/tracks/1ODxfBiqjEmBaiQ0xy9RaO,https://api.spotify.com/v1/audio-analysis/1ODxfBiqjEmBaiQ0xy9RaO,387867,4,techno,,4561.0,techno. only. (08/02),N
0.6779999999999999,0.4379999999999999,9,-8.847000000000001,0,0.0577,0.29,0.0,0.0838,0.501,162.996,audio_features,2Ixqr51U6DDbPdN0HwQBRn,spotify:track:2Ixqr51U6DDbPdN0HwQBRn,https://api.spotify.com/v1/tracks/2Ixqr51U6DDbPdN0HwQBRn,https://api.spotify.com/v1/audio-analysis/2Ixqr51U6DDbPdN0HwQBRn,247546,4,RnB,Caught Up (feat. Khalid),,,N
0.7559999999999999,0.794,0,-4.539,1,0.208,0.0362,0.0,0.314,0.474,140.036,audio_features,7m1p5O2UOyQM14DVIZUwGx,spotify:track:7m1p5O2UOyQM14DVIZUwGx,https://api.spotify.com/v1/tracks/7m1p5O2UOyQM14DVIZUwGx,https://api.spotify.com/v1/audio-analysis/7m1p5O2UOyQM14DVIZUwGx,137195,4,Dark Trap,Slip on a Banana Clip,,,N
0.7979999999999999,0.529,1,-6.327000000000001,1,0.074,0.00591,0.3939999999999999,0.072,0.0524,219.99,audio_features,5NXeprz7VhJkG6RgSAqqeO,spotify:track:5NXeprz7VhJkG6RgSAqqeO,https://api.spotify.com/v1/tracks/5NXeprz7VhJkG6RgSAqqeO,https://api.spotify.com/v1/audio-analysis/5NXeprz7VhJkG6RgSAqqeO,169169,4,Dark Trap,$outh $ide $uicide,,,N
0.821,0.795,11,-5.523,1,0.25,0.19,1.55e-05,0.353,0.532,117.99,audio_features,2bQxqezLVNiJVeLO0RWPON,spotify:track:2bQxqezLVNiJVeLO0RWPON,https://api.spotify.com/v1/tracks/2bQxqezLVNiJVeLO0RWPON,https://api.spotify.com/v1/audio-analysis/2bQxqezLVNiJVeLO0RWPON,160744,4,Underground Rap,Lost & Found,,,N
0.8759999999999999,0.852,9,-4.695,1,0.0518,0.165,0.0397,0.1,0.141,110.007,audio_features,22ppDLzoxyPe28QPZnuTHG,spotify:track:22ppDLzoxyPe28QPZnuTHG,https://api.spotify.com/v1/tracks/22ppDLzoxyPe28QPZnuTHG,https://api.spotify.com/v1/audio-analysis/22ppDLzoxyPe28QPZnuTHG,165818,4,Trap Metal,Florida Thang,,,N
0.527,0.887,4,-3.212,0,0.0379,0.0169,4.71e-06,0.357,0.177,149.947,audio_features,1bXibo8XS3lfmpsA8KUbJB,spotify:track:1bXibo8XS3lfmpsA8KUbJB,https://api.spotify.com/v1/tracks/1bXibo8XS3lfmpsA8KUbJB,https://api.spotify.com/v1/audio-analysis/1bXibo8XS3lfmpsA8KUbJB,203200,4,hardstyle,,19572.0,Euphoric Hardstyle,N
0.7509999999999999,0.933,11,-3.119,0,0.0901,0.000338,0.0353,0.187,0.3720000000000001,124.998,audio_features,4QzgkP3Y4bSUUqKJZv6HbA,spotify:track:4QzgkP3Y4bSUUqKJZv6HbA,https://api.spotify.com/v1/tracks/4QzgkP3Y4bSUUqKJZv6HbA,https://api.spotify.com/v1/audio-analysis/4QzgkP3Y4bSUUqKJZv6HbA,220920,4,techhouse,,2759.0,Tech House 2020 - Best of Techno,N
0.555,0.715,11,-4.821000000000001,0,0.0468,0.0019199999999999,0.0,0.114,0.402,183.902,audio_features,6tl8Ghkzp7e5xQuwI7AhEH,spotify:track:6tl8Ghkzp7e5xQuwI7AhEH,https://api.spotify.com/v1/tracks/6tl8Ghkzp7e5xQuwI7AhEH,https://api.spotify.com/v1/audio-analysis/6tl8Ghkzp7e5xQuwI7AhEH,225147,4,Pop,Diamonds,,,N
